,snumber,regine,main,name,stnr,start.yr,end.yr,missing.yr,areal,altitude,utm.e,runoff.region,lon,lat
0,200011,2,11,NaersjO,2.11,1960,2012,0,119.13,939.0,317821.46,ostlandet,11.4787835648,62.361318225699996
1,200013,2,13,Nedre Sjodalsvatn,2.13,1981,2012,1,479.97,1462.0,177672.06,ostlandet,8.927066438939999,61.560274194099996
2,200025,2,25,Lalm,2.25,1960,2012,0,3982.39,1326.0,198604.29,ostlandet,9.274603970669999,61.817371638900006
3,200028,2,28,Aulestad,2.28,1960,2012,0,866.25,850.0,246110.34,ostlandet,10.2708853271,61.215376837700006
4,200032,2,32,AtnasjO,2.32,1960,2012,0,463.2,1205.0,248695.82,ostlandet,10.2221190528,61.8519384984
5,200129,2,129,DOlplass,2.129,1960,2012,3,2014.27,1099.0,263382.24,ostlandet,10.4510651639,62.192230127399995
6,200142,2,142,Knappom,2.142,1960,2012,0,1646.0,411.0,338530.0,ostlandet,12.0471248084,60.641170209799995
7,200145,2,145,BaattstO,2.145,1960,2012,0,11212.84,1139.0,247417.27,ostlandet,10.2775323649,61.3333848
8,200267,2,267,Mistra bru,2.267,1961,2012,4,549.86,807.0,301377.89,ostlandet,11.2418943207,61.7111157512
9,200268,2,268,Akslen,2.2680000000000002,1960,2012,1,790.9,1467.0,155125.24,ostlandet,8.4498700777,61.8029356267
10,200279,2,279,Kraakfoss,2.279,1966,2012,1,432.35,445.0,282324.06,ostlandet,11.080103717,60.13344570100001
11,200280,2,280,Kringlerdal,2.28,1966,2012,2,265.44,519.0,278044.68,ostlandet,10.990436998800002,60.2363087956
12,200284,2,284,Saelatunga,2.2840000000000003,1966,2012,6,454.83,1370.0,188075.29,ostlandet,9.061225900639998,61.8842849428
13,200290,2,290,Brustuen,2.29,1966,2012,1,253.93,1413.0,146164.12,ostlandet,8.29602907974,61.726231911999996
14,200291,2,291,Tora,2.291,1966,2012,1,262.27,1485.0,126994.93,ostlandet,7.866356080349999,62.007722443999995
16,200323,2,323,Fura,2.323,1970,2012,1,42.47,575.0,300659.16,ostlandet,11.3261638292,60.886224474399995
17,200604,2,604,Elverum,2.6039999999999996,1960,2012,0,15451.76,817.0,313303.9,ostlandet,11.560652424,60.8742120704
19,200614,2,614,Rosten,2.614,1960,2012,0,1833.91,1186.0,205859.6,ostlandet,9.4051525261,61.858566968699996
20,200616,2,616,Kuggerud,2.616,1977,2012,2,48.38,376.0,319787.41,ostlandet,11.7330801085,60.3555376309
21,200633,2,633,Stortorp,2.633,1979,2012,1,87.13,178.0,302085.12,ostlandet,11.517756048199999,59.3595195293
22,300022,3,22,HOgfoss,3.22,1976,2012,1,299.29,153.0,265841.94,ostlandet,10.856104278599998,59.5516102527
23,600010,6,10,Gryta,6.1,1967,2012,1,7.03,300.0,265779.88,ostlandet,10.800567759200002,59.9872112959
24,800002,8,2,BjOrnegaardssvingen,8.2,1968,2012,1,190.19,341.0,248790.6,ostlandet,10.5083865143,59.8933940706
25,800006,8,6,Saeternbekken,8.6,1971,2012,3,6.23,240.0,252404.45,ostlandet,10.5664510718,59.942938658900005
26,1200013,12,13,Rysna,12.13,1973,2012,1,50.76,1372.0,162287.9,ostlandet,8.71596095234,61.1685263768
27,1200070,12,70,Etna,12.7,1960,2012,0,570.17,936.0,209138.61,ostlandet,9.626174239760001,60.951901790200004
28,1200097,12,97,Bergheim,12.97,1960,2012,0,4248.54,1071.0,183105.73,ostlandet,9.23131507953,60.4719194017
29,1200099,12,99,Skaalfoss,12.99,1965,2012,1,5126.71,1017.0,212736.83,ostlandet,9.83417605485,60.0780108282
30,1200113,12,113,Kraakefjord ndf.,12.113,1976,2012,0,702.16,597.0,201308.07,ostlandet,9.634025642760001,60.043203599799995
31,1200137,12,137,Gjerdeslaatta,12.137,1960,2012,0,774.58,1261.0,158817.62,ostlandet,8.726649701080001,60.7896772649
32,1200171,12,171,HOlervatn,12.171,1968,2012,1,79.75,902.0,197891.82,ostlandet,9.46021861262,60.709708033999995
33,1200178,12,178,Eggedal,12.177999999999999,1972,2012,0,309.77,846.0,191231.58,ostlandet,9.43438837921,60.15176131850001
34,1200188,12,188,Langtjernbekk,12.187999999999999,1973,2012,1,4.79,586.0,209434.06,ostlandet,9.72745620622,60.3727134693
35,1200193,12,193,Fiskum,12.193,1976,2012,1,51.6,277.0,206901.23,ostlandet,9.78916007231,59.6975418061
36,1200197,12,197,Grunke,12.197000000000001,1977,2012,4,184.46,1305.0,159261.01,ostlandet,8.70313890357,60.9503360863
37,1200200,12,200,KolbjOrnshus,12.2,1978,2012,1,2064.45,870.0,232178.08,ostlandet,10.0723333453,60.8233855575
38,1200207,12,207,Vinde-elv,12.207,1982,2012,0,269.34,981.0,181407.39,ostlandet,9.075593061060001,61.151745580299995
39,1500021,15,21,Jondalselv,15.21,1960,2012,0,125.9,574.0,193827.63,ostlandet,9.55479775351,59.70734406890001
40,1500049,15,49,Jalledalsvatn,15.49,1962,2012,1,59.13,1028.0,142101.27,ostlandet,8.47906451083,60.4929660414
41,1500053,15,53,Borgaai,15.53,1966,2012,1,94.07,1011.0,169391.31,ostlandet,9.01118441235,60.3096045083
42,1500079,15,79,Orsjoren,15.79,1960,2012,0,1177.29,1229.0,129056.71,ostlandet,8.26391836472,60.38209406560001
43,1600010,16,10,Omnesfoss,16.1,1963,2012,1,807.71,852.0,161341.81,ostlandet,8.993230506849999,59.611714265699995
44,1600051,16,51,Hagadrag,16.51,1960,2012,0,726.98,820.0,152829.22,ostlandet,8.87475984036,59.4320111184
45,1600066,16,66,Grosettjern,16.66,1960,2012,0,6.6,1005.0,126012.81,ostlandet,8.32061475723,59.8355481776
46,1600075,16,75,Tannsvatn (Lognvikvatnet),16.75,1960,2012,0,118.28,905.0,109975.69,ostlandet,8.06738831823,59.6731716234
47,1600122,16,122,Grovaai,16.122,1972,2012,1,42.69,914.0,123333.29,ostlandet,8.31171853517,59.6414005671
49,1600194,16,194,Kilen,16.194000000000003,1962,2012,3,118.47,491.0,146933.04,ostlandet,8.7857909192,59.3490717296
50,1800010,18,10,Gjerstad,18.1,1980,2012,1,236.23,313.0,156331.72,sorlandet,9.03327195401,58.8836052993
51,1800011,18,11,Tjellingtjernbekk,18.11,1981,2012,1,1.95,377.0,146829.53,sorlandet,8.85937722105,58.932083280600004
52,1900073,19,73,Kilaai bru,19.73,1968,2012,1,64.37,667.0,115460.24,sorlandet,8.29921269373,59.00203798729999
53,1900079,19,79,Gravaa,19.79,1970,2012,1,6.31,659.0,103120.89,sorlandet,8.036406392939998,59.234845846000006
54,1900080,19,80,Stigvassaai,19.8,1972,2012,0,14.49,263.0,125136.29,sorlandet,8.515726110389998,58.749890711099994
55,1900082,19,82,Rauaana,19.82,1972,2012,1,8.93,396.0,127064.51,sorlandet,8.50817698637,58.968513513199994
56,1900096,19,96,Storgama ovf.,19.96,1974,2012,1,0.52,610.0,136290.68,sorlandet,8.65362135008,59.05231629399999
57,1900104,19,104,Sognedalsaai,19.104,1981,2012,0,65.52,777.0,100966.81,sorlandet,7.98510243401,59.29985500390001
58,2000002,20,2,Austenaa,20.2,1960,2012,0,276.42,763.0,102216.1,sorlandet,8.10052523255,58.8396329494
59,2000003,20,3,Flaksvatn,20.3,1960,2012,0,1780.66,354.0,102366.62,sorlandet,8.20306070728,58.330464422700004
60,2000011,20,11,Tveitdalen,20.11,1972,2012,1,0.44,219.0,105276.79,sorlandet,8.24237216963,58.3854119511
61,2200004,22,4,KjOlemo,22.4,1960,2012,0,1757.7,560.0,60352.1,sorlandet,7.527672218139999,58.1202369475
62,2200016,22,16,Myglevatn ndf.,22.16,1960,2012,0,182.2,447.0,67674.34,sorlandet,7.584351336010001,58.445609965100005
63,2200020,22,20,Haaverstad,22.2,1964,2012,2,1054.95,767.0,59181.85,sorlandet,7.4269457889999995,58.4981221228
64,2200022,22,22,SOgne,22.22,1973,2012,2,203.58,198.0,78051.21,sorlandet,7.83510849133,58.0909799337
66,2400009,24,9,Tingvatn (Lygne),24.9,1960,2012,0,272.16,588.0,46112.2,sorlandet,7.223347914,58.4011394637
68,2600020,26,20,aardal,26.2,1970,2012,1,77.25,478.0,5913.63,sorlandet,6.497834356830001,58.5435666775
69,2600021,26,21,Sandvatn,26.21,1971,2012,0,27.5,470.0,21105.08,sorlandet,6.77277922635,58.4897821907
70,2600026,26,26,Jogla,26.26,1973,2012,0,31.12,1002.0,36968.58,sorlandet,6.93801450278,58.9574423772
71,2600029,26,29,Refsvatn,26.29,1978,2012,0,52.95,297.0,-5733.44,sorlandet,6.34451864319,58.3508868761
72,2700024,27,24,Helleland,27.24,1977,2012,0,184.72,489.0,-14357.22,sorlandet,6.15028777231,58.533599073599994
73,2700025,27,25,Gjedlakleiv,27.25,1982,2012,1,635.15,527.0,-18635.55,sorlandet,6.066195178080001,58.5734023377
74,2800007,28,7,Haugland,28.7,1960,2012,0,139.35,178.0,-41015.96,sorlandet,5.646998685850001,58.6927500209
75,3500009,35,9,Osali (Botnavatnet),35.9,1982,2012,2,22.46,871.0,25306.03,vestlandet,6.622463065190001,59.414258493999995
76,3600013,36,13,Grimsvatn,36.13,1973,2012,1,34.54,833.0,23014.85,vestlandet,6.5398061879,59.5816249876
77,3800001,38,1,Holmen,38.1,1982,2012,2,116.88,556.0,-13383.07,vestlandet,5.91403434125,59.4991721071
78,3900001,39,1,Tysvaer,39.1,1974,2012,3,3.34,25.0,-42637.57,vestlandet,5.442215111830001,59.3298849658
79,4100001,41,1,Stordalsvatn,41.1,1960,2012,0,130.61,681.0,-5157.71,vestlandet,6.010888968430001,59.6829364522
81,4200002,42,2,Fjellhaugvatn,42.2,1963,2012,1,31.9,526.0,-12937.1,vestlandet,5.834625203330001,59.818088664099996
82,4600004,46,4,Bondhus,46.4,1963,2012,6,60.5,1236.0,15648.91,vestlandet,6.26871777365,60.1162197224
83,4600009,46,9,FOnnerdalsvatn,46.9,1980,2012,5,7.01,1371.0,15646.91,vestlandet,6.281771108169999,60.0670753364
84,4800001,48,1,Sandvenvatn,48.1,1960,2012,0,470.22,1090.0,29631.53,vestlandet,6.54813736031,60.0138925538
85,4800005,48,5,Reinsnosvatn,48.5,1960,2012,0,120.5,1232.0,39122.21,vestlandet,6.7306555087,59.9686479325
86,5000001,50,1,HOlen,50.1,1960,2012,0,232.73,1277.0,45356.83,vestlandet,6.74495671676,60.3588525808
87,5000003,50,3,Eidfjordvatn,50.3,1960,2012,0,1166.92,1226.0,66307.21,vestlandet,7.1099525882600005,60.427407967700006
89,5500004,55,4,ROykenes,55.4,1960,2012,0,50.09,307.0,-27968.3,vestlandet,5.4393961948300005,60.2510816641
91,5500007,55,7,Eikelandsosen,55.7,1980,2012,2,42.72,512.0,-10237.72,vestlandet,5.7636554124,60.2450124074
92,6200005,62,5,Bulken (Vangsvatnet),62.5,1960,2012,0,1092.04,867.0,24487.79,vestlandet,6.291809036419999,60.6292968801
93,7100001,71,1,Skjerping,71.1,1968,2012,1,267.79,969.0,54955.03,vestlandet,6.7929970396899995,60.858934571000006
94,7200005,72,5,Brekke bru,72.5,1960,2012,0,268.16,1273.0,72182.26,vestlandet,7.113902524789999,60.8503484442
95,7300001,73,1,Lo bru,73.1,1960,2012,0,562.39,1324.0,112741.23,vestlandet,7.816670707260001,61.0586015151
96,7300004,73,4,Saelthun,73.4,1961,2012,3,789.96,1335.0,106455.75,vestlandet,7.7011314961199995,61.052601404099995
99,7500022,75,22,Gilja,75.22,1963,2012,1,203.43,1364.0,108416.66,vestlandet,7.62113534631,61.5496885637
100,7500023,75,23,Krokenelv,75.23,1965,2012,1,45.92,1148.0,93990.63,vestlandet,7.39821773104,61.347019044899994
101,7500028,75,28,Feigumfoss,75.28,1972,2012,1,48.04,1294.0,96934.61,vestlandet,7.4451107872,61.3816845018
102,7600005,76,5,Nigardsbrevatn(NigardsjOen),76.5,1962,2012,1,65.29,1546.0,89910.04,vestlandet,7.241905558150001,61.6665542182
103,7600010,76,10,Myklemyr,76.1,1978,2012,1,575.82,1323.0,89454.81,vestlandet,7.273516956539999,61.5062261252
104,7600011,76,11,VigdOla,76.11,1979,2012,1,45.45,1324.0,92461.73,vestlandet,7.329787212669999,61.5082735503
105,7700003,77,3,Sogndalsvatn,77.3,1962,2012,1,110.93,1000.0,72486.31,vestlandet,7.0068081933899995,61.2978380371
106,7800008,78,8,BOyumselv,78.8,1965,2012,1,40.42,1224.0,60540.58,vestlandet,6.742683782389999,61.448699723699995
107,8000004,80,4,UllebOelv,80.4,1960,2012,0,8.31,661.0,5982.37,vestlandet,5.78580590887,61.2034222915
108,8100001,81,1,Hersvikvatn (Hagevatnet),81.1,1960,2012,0,7.13,51.0,-40463.98,vestlandet,4.936724871619999,61.135485178900005
109,8200004,82,4,Nautsundvatn,82.4,1960,2012,0,218.96,464.0,-14299.94,vestlandet,5.39112429574,61.250542204300004
110,8300002,83,2,Viksvatn (Hestadfjorden),83.2,1960,2012,0,508.13,842.0,13381.53,vestlandet,5.88656275574,61.333359389399995
111,8300006,83,6,Byttevatn,83.6,1965,2012,4,104.54,1014.0,38046.65,vestlandet,6.34750123612,61.344042378299996
112,8300007,83,7,GrOnengstOlsvatn,83.7,1965,2012,1,65.65,1184.0,45979.54,vestlandet,6.46945505035,61.4433756154
113,8400015,84,15,JOlstervatn ndf.,84.15,1960,2012,0,384.46,748.0,27578.5,vestlandet,6.10855535273,61.4909881528
116,8500004,85,4,Straumstad (Solhiemsvatnet),85.4,1974,2012,1,109.68,586.0,-4978.34,vestlandet,5.443947340709999,61.648702380900005
117,8600010,86,10,aavatn (Ommedalsvatnet),86.1,1974,2012,1,162.13,696.0,21229.89,vestlandet,5.92157743482,61.7186849714
118,8600012,86,12,Skjerdalselv,86.12,1982,2012,1,23.76,1045.0,23477.81,vestlandet,5.935568061690001,61.8160257925
119,8700002,87,2,Gloppenelva v/Eidsfoss,87.2,1960,2012,0,614.33,869.0,38512.91,vestlandet,6.24007438051,61.7560123793
120,8700010,87,10,Gloppenelv v/Bergheim,87.1,1970,2012,1,217.12,1045.0,52688.19,vestlandet,6.520635423080001,61.718601311499995
121,8800004,88,4,Lovatn,88.4,1960,2012,0,234.88,1337.0,74030.7,vestlandet,6.889670375580001,61.8586938505
123,8900001,89,1,Horindalsvatn,89.1,1960,2012,0,381.68,480.0,34637.55,vestlandet,6.11860856651,61.9197009441
124,9100002,91,2,DalsbOvatn,91.2,1960,2012,0,25.72,252.0,-10882.74,vestlandet,5.166490276969999,62.1624295659
125,9700001,97,1,Fetvatn (Fitjavatnet),97.1,1960,2012,0,88.95,591.0,65356.79,vestlandet,6.59288754194,62.332500446000005
126,9800004,98,4,Oye ndf.,98.4,1960,2012,0,138.78,982.0,79110.4,vestlandet,6.931252195539999,62.068180169099996
127,9900017,99,17,Kjeldstad i Garbergelva,99.17,1981,2012,3,49.86,1325.0,110133.94,vestlandet,7.49588321296,62.1975093561
128,10100001,101,1,Engsetvatn,101.1,1960,2012,0,39.93,159.0,69509.33,vestlandet,6.617669491769999,62.5313953706
129,10300020,103,20,Isa v/MorstOl bru,103.2,1972,2012,2,44.4,912.0,138554.18,vestlandet,7.9540731376,62.583233002
130,10300040,103,40,Rauma v/Horgheim,103.4,1971,2012,2,1099.42,1241.0,128354.11,vestlandet,7.78144054749,62.47321399810001
131,10400002,104,2,Eikesdalsvatn,104.2,1960,2012,0,1093.43,1226.0,147786.5,vestlandet,8.12405056822,62.6284650888
132,10400022,104,22,Midtre Mardalsvatn,104.22,1976,2012,1,13.68,1132.0,143672.85,vestlandet,8.07138422639,62.5095012926
133,10400023,104,23,Vistdal ,104.23,1975,2012,1,66.52,737.0,140290.08,vestlandet,7.96077943055,62.6977346063
134,10500001,105,1,Osenelv v/Oren,105.1,1960,2012,0,137.59,235.0,129534.15,vestlandet,7.7260648214,62.793199794399996
135,10700003,107,3,Farstadelva v/Farstad,107.3,1965,2012,1,24.23,56.0,103341.32,vestlandet,7.1619133566399995,62.9728065902
136,10900009,109,9,Driva v/Risefoss,109.9,1960,2012,0,745.38,1347.0,221773.18,vestlandet,9.592639395560001,62.51138425
137,10900020,109,20,Driva v/GrensehOlen,109.2,1964,2012,1,1632.61,1202.0,200142.2,vestlandet,9.15955513916,62.5718716522
138,10900021,109,21,Driva v/Svon,109.21,1970,2012,2,136.02,1263.0,217144.41,vestlandet,9.54912101705,62.256634739
139,10900029,109,29,Dalavatn,109.29,1974,2012,1,85.44,1178.0,178701.3,vestlandet,8.733476183410001,62.6075315152
140,10900042,109,42,Driva v/Elverhoy bru,109.42,1975,2012,1,2437.41,1217.0,177135.52,vestlandet,8.69408937327,62.6487398549
141,11100005,111,5,Toaaa v/Talgoyfoss,111.5,1960,2012,0,150.47,917.0,183251.27,vestlandet,8.78268596169,62.7966358185
142,11100009,111,9,SOya v/Melhus,111.9,1974,2012,1,137.63,577.0,175362.9,vestlandet,8.60489924328,62.9002851834
144,12100022,121,22,Syrstad,121.22,1972,2012,1,2278.13,866.0,233461.44,trondelag,9.7277077322,63.0322515811
146,12300031,123,31,Kjeldstad i Garbergelva,123.31,1960,2012,0,145.0,576.0,305904.58,trondelag,11.1311000196,63.26616752060001
147,12400002,124,2,HOggaas bru,124.2,1960,2012,0,494.72,505.0,318722.12,trondelag,11.358154134600001,63.4929522993
148,12500002,125,2,Fossing,125.2,1960,2012,2,163.37,282.0,304777.08,trondelag,11.061493748699998,63.610779818299996
149,12700006,127,6,Grunnfoss,127.6,1960,2012,0,880.42,500.0,342841.22,trondelag,11.8096928124,63.791180368199996
150,12700011,127,11,Veravatn,127.11,1966,2012,1,176.13,518.0,368281.0,trondelag,12.3265429764,63.7893414118
151,12700013,127,13,Dillfoss,127.13,1973,2012,0,479.64,507.0,340506.42,trondelag,11.7653904944,63.7639266945
153,13100001,131,1,Oppgrande bru,131.1,1979,2012,4,108.84,267.0,302226.63,trondelag,10.980547811700001,63.818763402399995
154,13300007,133,7,Krinsvatn (Kringsvatnet),133.7,1960,2012,0,206.61,348.0,265316.38,trondelag,10.2319088718,63.8040902162
155,13800001,138,1,Oyungen,138.1,1960,2012,0,239.07,294.0,310110.49,trondelag,11.0816870447,64.2437790293
156,13900015,139,15,BjOrnstad,139.15,1960,2012,0,1037.62,700.0,417933.0,trondelag,13.258363651300002,65.0177902669
157,13900020,139,20,Moen,139.2,1974,2012,1,64.03,556.0,409192.0,trondelag,13.0794506472,64.9254871808
159,13900035,139,35,Trangen,139.35,1978,2012,1,852.39,558.0,378745.0,trondelag,12.481649285,64.43046652439999
160,14000002,140,2,Salsvatn,140.2,1960,2012,0,431.9,270.0,331028.74,trondelag,11.4543617988,64.70537653939999
161,14200001,142,1,FOrste Aunvatn,142.1,1982,2012,1,87.29,625.0,380555.0,trondelag,12.4770349494,64.8886345001
162,14400001,144,1,aabjOrvatn,144.1,1960,2012,6,388.95,625.0,390293.0,nordland,12.6697943493,65.03851600760001
163,14800002,148,2,Mevatnet,148.2,1973,2012,1,108.47,158.0,385512.0,nordland,12.5380572751,65.3648797196
164,15000001,150,1,SOrra,150.1,1960,2012,3,6.58,69.0,389532.0,nordland,12.5676106158,65.9786273424
166,15100015,151,15,Nervoll,151.15,1968,2012,1,653.36,827.0,452970.0,nordland,13.986035559500001,65.4375715747
167,15100021,151,21,Joibakken,151.21,1972,2012,1,2623.11,713.0,428582.0,nordland,13.4547666477,65.5290691933
168,15100028,151,28,Laksfors,151.28,1960,2012,0,3653.4,660.0,421282.0,nordland,13.2907325225,65.6215448807
169,15200004,152,4,Fustvatn,152.4,1960,2012,0,525.69,436.0,422912.0,nordland,13.3076484748,65.9050580957
170,15300001,153,1,Storvatn,153.1,1960,2012,0,48.0,516.0,414870.0,nordland,13.1171930224,66.0937621928
171,15600008,156,8,Svartisdal,156.8,1960,2012,0,121.98,902.0,465482.0,nordland,14.224826589300001,66.4808882322
172,15600010,156,10,Berget,156.1,1960,2012,0,210.63,804.0,450012.0,nordland,13.878476031300002,66.4567164074
173,15600013,156,13,BjOrnfoss,156.13,1960,2012,0,306.1,924.0,469532.0,nordland,14.316014331600002,66.4723690112
174,15600015,156,15,Forsbakk,156.15,1963,2012,1,56.04,445.0,446652.0,nordland,13.8108700697,66.2930072954
175,15600017,156,17,Virvatn,156.17,1966,2012,2,79.06,833.0,516192.0,nordland,15.361118236,66.3079011833
176,15600024,156,24,Bogvatn,156.24,1970,2012,1,36.21,985.0,477632.0,nordland,14.4946159932,66.6324394546
177,15600027,156,27,Leiraaga,156.27,1974,2012,0,44.09,494.0,449012.0,nordland,13.8567636795,66.440857567
178,15700003,157,3,Vassvatn,157.3,1960,2012,0,16.33,471.0,418712.0,nordland,13.1807689302,66.3926258746
179,15900003,159,3,Engabrevatn,159.3,1969,2012,5,53.33,1168.0,445532.0,nordland,13.766186485799999,66.694803945
180,15900005,159,5,StrOmdalen,159.5,1976,2012,5,22.44,416.0,429932.0,nordland,13.4170406088,66.62797186899999
181,16100007,161,7,Tollaaga,161.7,1972,2012,2,225.05,795.0,493632.0,nordland,14.8545684876,66.8969240995
182,16200003,162,3,Skarsvatn,162.3,1960,2012,0,145.39,520.0,499241.0,nordland,14.982532615799999,67.0837367551
183,16300005,163,5,Junkerdalselv,163.5,1960,2012,0,421.98,834.0,518043.0,nordland,15.410687646900001,66.81479810229999
184,16300006,163,6,Jordbrufjell,163.6,1960,2012,1,69.91,664.0,506407.0,nordland,15.1465539059,66.9356041186
185,16300007,163,7,Kjemaavatn,163.7,1969,2012,1,36.48,935.0,517992.0,nordland,15.4087676249,66.769168421
186,16600001,166,1,Lakshola,166.1,1960,2012,0,230.79,500.0,532582.0,nordland,15.761407283699999,67.4513525157
187,16600013,166,13,Vallvatn,166.13,1960,2012,2,53.04,97.0,523039.0,nordland,15.5359783098,67.3440848394
188,16700003,167,3,kobbvatn,167.3,1960,2012,0,387.14,680.0,542026.0,nordland,15.989289248099999,67.6238643486
189,16800003,168,3,Laksaa bru,168.3,1960,2012,0,26.67,217.0,512486.0,nordland,15.2960780725,67.7966344483
190,17200005,172,5,Melkedal (Litlevatn),172.5,1960,2012,0,92.15,412.0,570950.0,nordland,16.716241052,68.2547123766
191,17200007,172,7,Leirpoldvatn,172.7,1970,2012,1,18.84,216.0,558993.0,nordland,16.4287385708,68.2831776422
192,17200008,172,8,Rauvatn,172.8,1977,2012,1,21.17,632.0,578022.0,nordland,16.8833287739,68.20586063569999
193,17700004,177,4,Sneisvatn,177.4,1960,2012,0,29.25,302.0,528971.0,nordland,15.7054432428,68.4074830925
194,17800001,178,1,Langvatn,178.1,1960,2012,0,18.41,356.0,529132.0,nordland,15.7160409458,68.6189695629
195,18500001,185,1,Gaaslandsvatn,185.1,1960,2012,1,7.7,34.0,484953.0,nordland,14.6292726432,68.6728276175
196,18900003,189,3,Tennevikvatn,189.3,1978,2012,1,85.41,315.0,569986.0,nordland,16.722345646500003,68.6448954644
198,19600007,196,7,Ytre FiskelOsvatn,196.7,1960,2012,1,54.42,273.0,653315.84,finnmark,18.8820667741,69.2629743252
199,19600011,196,11,Lille Rostavatn,196.11,1960,2012,0,638.38,740.0,682880.44,finnmark,19.581081202,69.0229805343
200,19600012,196,12,Lundberg,196.12,1961,2012,3,246.53,868.0,643677.17,finnmark,18.5494147369,68.7223494475
201,19600035,196,35,Malangsfoss,196.35,1960,2012,0,3110.65,713.0,646006.34,finnmark,18.6583375244,69.0349282602
202,20500003,205,3,Skibotn bru,205.3,1970,2012,1,727.22,819.0,707196.97,finnmark,20.2737482309,69.365066645
204,20500008,205,8,Helligskogen,205.8,1982,2012,2,371.08,831.0,723594.8,finnmark,20.6570869168,69.2317264244
205,20600003,206,3,Manndalen bru,206.3,1971,2012,1,200.48,933.0,715473.77,finnmark,20.5256949546,69.5239453267
206,20800002,208,2,Oksfjordvatn,208.2,1960,2012,0,265.6,548.0,744171.21,finnmark,21.3763954222,69.9003319278
207,20800003,208,3,Svartfossberget,208.3,1981,2012,1,1932.29,673.0,748701.12,finnmark,21.3816610139,69.5285396848
208,20900004,209,4,Lillefossen,209.4,1961,2012,1,331.83,806.0,766270.33,finnmark,21.9176192942,69.78567169909999
209,21200010,212,10,Masi,212.1,1966,2012,1,5620.81,450.0,837785.41,finnmark,23.6350364177,69.4200409093
210,21200011,212,11,Kista,212.11,1971,2012,1,6181.8,449.0,826880.1,finnmark,23.5168051942,69.8263027441
211,21200049,212,49,Halsnes,212.49,1966,2012,5,144.89,531.0,802014.27,finnmark,22.941637087800004,70.0264364248
212,21300002,213,2,Leribotnvatn,213.2,1961,2012,1,135.47,457.0,823897.88,finnmark,23.5534396141,70.106674463
213,21300004,213,4,Kvalsund,213.4,1978,2012,1,124.8,355.0,832717.95,finnmark,23.9533116901,70.4868392422
214,22300001,223,1,Stabburselv,223.1,1960,2012,1,1067.33,441.0,872637.89,finnmark,24.8833008425,70.1763363236
216,22400001,224,1,Skoganvarre,224.1,1960,2012,2,942.31,345.0,886448.06,finnmark,25.085420092199996,69.8369901977
217,24400002,244,2,Neiden,244.2,1960,2012,5,2947.19,212.0,1050091.64,finnmark,29.321308144899998,69.7007173953
218,24600009,246,9,Sametielv,246.9,1962,2012,1,255.69,131.0,1073079.06,finnmark,29.717045206599998,69.40015441199999
220,30700005,307,5,MurusjO,307.5,1960,2012,0,345.62,528.0,452694.0,trondelag,14.0156504925,64.4866994975
221,30700007,307,7,Landbru,307.7,1960,2012,0,61.37,711.0,448692.0,trondelag,13.9165089785,64.8867905641
222,30800001,308,1,Lenglingen,308.1,1960,2012,0,449.98,625.0,439898.0,trondelag,13.7603059996,64.2448717133
223,31100004,311,4,Femundsenden (Femunden),311.4,1960,2012,0,1794.03,782.0,339350.0,ostlandet,11.940042970799999,61.91996114729999
224,31100006,311,6,Nybergsund,311.6,1960,2012,0,4424.85,781.0,356394.0,ostlandet,12.322495811,61.2590776466
225,31100460,311,460,Engeren,311.46,1960,2012,0,394.83,837.0,342155.66,ostlandet,12.0183481106,61.664878959700005
